HospitalName,Speciality,HospitalImage,Location
"Apollo Hospital, Navi Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Mumbai.jpg.webp","Mumbai"
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Fortis Hospital, Mulund, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Mulund-Mumbai.jpg.webp","Mumbai"
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon"
"Wockhardt Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Wockhardt-Hospitals-360x223.jpg.webp","Mumbai"
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"Sir HN Reliance Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Sir-HN-Reliance-Foundation-Hospital,-Mumbai.jpg.webp","Mumbai"
"Batra Hospital & Medical Research Centre, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Batra-Hospital-_-Medical-Research-Centre,-New-Delhi.jpg.webp","New Delhi"
"Gleneagles Global Health City, Perumbakkam, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Chennai.jpg.webp","Chennai"
"Pushpawati Singhania Research Institute, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Delhi/Pushpawati-Singhania-Research-Institute,-New-Delhi.jpg.webp","New Delhi"
"Apollo Hospital, Hyderguda, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Hyderabad/Apollo-Hospital,-Hyderguda.jpg.webp","Hyderabad"
"Krishna Institute of Medical Sciences, Secunderabad, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/KIMS-Hospital-Kondapur-Hyderabad.jpg.webp","Hyderabad"
"SIMS Hospital, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Chennai/SIMS-Hospital,-Vadapalani,-Chennai.jpg.webp","Chennai"
"Sri Ramachandra Medical Centre, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Sri-Ramachandra-Medical-Centre-Chennai.jpg.webp","Chennai"
"Fortis Hospital, Vadapalani, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Chennai/Fortis-Hospital,-Vadapalani.jpg.webp","Chennai"
"Yashoda Hospital, Secunderabad, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Yashoda-Hospital-Secunderabad.jpg.webp","Hyderabad"
